# threads, bench_type, bench_mode, elapsed_ns, latency_ns, elapsed_clock_ns, clock_ns_per_iter
12, refcount, fetch_sub, 39963982.000000, 39.9639820000, 345389000.000000, 345.389000
12, refcount, cmpxchg_strong, 43494077.000000, 43.4940770000, 416536000.000000, 416.536000
12, refcount, cmpxchg_weak, 38413930.000000, 38.4139300000, 379303000.000000, 379.303000
12, refcount, std::shared_ptr, 26417891.000000, 26.4178910000, 267740000.000000, 267.740000
12, spinlock, fetch_or, 168201075.000000, 168.2010750000, 1811639000.000000, 1811.639000
12, spinlock, cmpxchg_strong, 58973488.000000, 58.9734880000, 617446000.000000, 617.446000
12, spinlock, cmpxchg_strong_pause, 51878361.000000, 51.8783610000, 506364000.000000, 506.364000
12, spinlock, cmpxchg_weak, 65128640.000000, 65.1286400000, 632344000.000000, 632.344000
12, spinlock, cmpxchg_weak_pause, 54842794.000000, 54.8427940000, 543029000.000000, 543.029000
12, spinlock, std::mutex, 69414047.000000, 69.4140470000, 721889000.000000, 721.889000
13, refcount, fetch_sub, 37331956.000000, 37.3319560000, 357010000.000000, 357.010000
13, refcount, cmpxchg_strong, 46112957.000000, 46.1129570000, 442202000.000000, 442.202000
13, refcount, cmpxchg_weak, 42055527.000000, 42.0555270000, 439377000.000000, 439.377000
13, refcount, std::shared_ptr, 37037243.000000, 37.0372430000, 396603000.000000, 396.603000
13, spinlock, fetch_or, 234771850.000000, 234.7718500000, 2832216000.000000, 2832.216000
13, spinlock, cmpxchg_strong, 70036822.000000, 70.0368220000, 725017000.000000, 725.017000
13, spinlock, cmpxchg_strong_pause, 67001473.000000, 67.0014730000, 723924000.000000, 723.924000
13, spinlock, cmpxchg_weak, 67262189.000000, 67.2621890000, 736606000.000000, 736.606000
13, spinlock, cmpxchg_weak_pause, 45068176.000000, 45.0681760000, 427666000.000000, 427.666000
13, spinlock, std::mutex, 74936311.000000, 74.9363110000, 861477000.000000, 861.477000
14, refcount, fetch_sub, 38107325.000000, 38.1073250000, 397940000.000000, 397.940000
14, refcount, cmpxchg_strong, 40706777.000000, 40.7067770000, 417632000.000000, 417.632000
14, refcount, cmpxchg_weak, 42239207.000000, 42.2392070000, 416369000.000000, 416.369000
14, refcount, std::shared_ptr, 42525180.000000, 42.5251800000, 423950000.000000, 423.950000
14, spinlock, fetch_or, 299898801.000000, 299.8988010000, 3928539000.000000, 3928.539000
14, spinlock, cmpxchg_strong, 51876717.000000, 51.8767170000, 497757000.000000, 497.757000
14, spinlock, cmpxchg_strong_pause, 47970014.000000, 47.9700140000, 524368000.000000, 524.368000
14, spinlock, cmpxchg_weak, 68536524.000000, 68.5365240000, 765158000.000000, 765.158000
14, spinlock, cmpxchg_weak_pause, 71136841.000000, 71.1368410000, 847531000.000000, 847.531000
14, spinlock, std::mutex, 77468604.000000, 77.4686040000, 953440000.000000, 953.440000
15, refcount, fetch_sub, 43501556.000000, 43.5015560000, 482431000.000000, 482.431000
15, refcount, cmpxchg_strong, 49775085.000000, 49.7750850000, 538893000.000000, 538.893000
15, refcount, cmpxchg_weak, 51822367.000000, 51.8223670000, 560603000.000000, 560.603000
15, refcount, std::shared_ptr, 31333742.000000, 31.3337420000, 355219000.000000, 355.219000
15, spinlock, fetch_or, 324477379.000000, 324.4773790000, 4527020000.000000, 4527.020000
15, spinlock, cmpxchg_strong, 68246539.000000, 68.2465390000, 801837000.000000, 801.837000
15, spinlock, cmpxchg_strong_pause, 80901894.000000, 80.9018940000, 1073175000.000000, 1073.175000
15, spinlock, cmpxchg_weak, 51895457.000000, 51.8954570000, 604694000.000000, 604.694000
15, spinlock, cmpxchg_weak_pause, 47228020.000000, 47.2280200000, 486326000.000000, 486.326000
15, spinlock, std::mutex, 80073682.000000, 80.0736820000, 1071055000.000000, 1071.055000
16, refcount, fetch_sub, 43057050.000000, 43.0570500000, 496876000.000000, 496.876000
16, refcount, cmpxchg_strong, 47844970.000000, 47.8449700000, 536937000.000000, 536.937000
16, refcount, cmpxchg_weak, 56630110.000000, 56.6301100000, 613483000.000000, 613.483000
16, refcount, std::shared_ptr, 32281265.000000, 32.2812650000, 379857000.000000, 379.857000
16, spinlock, fetch_or, 385787240.000000, 385.7872400000, 5593937000.000000, 5593.937000
16, spinlock, cmpxchg_strong, 66433532.000000, 66.4335320000, 776161000.000000, 776.161000
16, spinlock, cmpxchg_strong_pause, 53526448.000000, 53.5264480000, 612593000.000000, 612.593000
16, spinlock, cmpxchg_weak, 55024073.000000, 55.0240730000, 613278000.000000, 613.278000
16, spinlock, cmpxchg_weak_pause, 60395293.000000, 60.3952930000, 698857000.000000, 698.857000
16, spinlock, std::mutex, 79491200.000000, 79.4912000000, 1135906000.000000, 1135.906000
17, refcount, fetch_sub, 39101829.000000, 39.1018290000, 492459000.000000, 492.459000
17, refcount, cmpxchg_strong, 43351065.000000, 43.3510650000, 530205000.000000, 530.205000
17, refcount, cmpxchg_weak, 54967118.000000, 54.9671180000, 646147000.000000, 646.147000
17, refcount, std::shared_ptr, 30910774.000000, 30.9107740000, 388852000.000000, 388.852000
17, spinlock, fetch_or, 414682092.000000, 414.6820920000, 6367679000.000000, 6367.679000
17, spinlock, cmpxchg_strong, 78857999.000000, 78.8579990000, 985945000.000000, 985.945000
17, spinlock, cmpxchg_strong_pause, 47361994.000000, 47.3619940000, 557583000.000000, 557.583000
17, spinlock, cmpxchg_weak, 45600555.000000, 45.6005550000, 520225000.000000, 520.225000
17, spinlock, cmpxchg_weak_pause, 48694766.000000, 48.6947660000, 556647000.000000, 556.647000
17, spinlock, std::mutex, 74979120.000000, 74.9791200000, 1152416000.000000, 1152.416000
18, refcount, fetch_sub, 35071844.000000, 35.0718440000, 474684000.000000, 474.684000
18, refcount, cmpxchg_strong, 45769762.000000, 45.7697620000, 626915000.000000, 626.915000
18, refcount, cmpxchg_weak, 50364876.000000, 50.3648760000, 665669000.000000, 665.669000
18, refcount, std::shared_ptr, 28457955.000000, 28.4579550000, 410861000.000000, 410.861000
